Source,Target,Weight,Type
Launcelot,Salerio,1,undirected
Launcelot,Nerissa,2,undirected
Launcelot,Portia_mv,3,undirected
Launcelot,OldGobbo,1,undirected
Launcelot,Servant_mv,1,undirected
Launcelot,Lorenzo,5,undirected
Launcelot,Salarino,2,undirected
Launcelot,Stephano,1,undirected
Launcelot,Leonardo,1,undirected
Launcelot,Salanio,2,undirected
Launcelot,Shylock,3,undirected
Salerio,all_mv,2,undirected
Salerio,Shylock,3,undirected
PrinceMorocco,Tubal,1,undirected
PrinceMorocco,Shylock,1,undirected
Duke,Launcelot,1,undirected
Duke,Salerio,1,undirected
Duke,Nerissa,1,undirected
Duke,Portia_mv,2,undirected
Duke,Lorenzo,1,undirected
Duke,Gratiano_mv,1,undirected
Duke,Shylock,1,undirected
Duke,Jessica,1,undirected
Bassanio,Launcelot,4,undirected
Bassanio,Salerio,3,undirected
Bassanio,PrinceMorocco,1,undirected
Bassanio,Duke,1,undirected
Bassanio,Tubal,1,undirected
Bassanio,Nerissa,5,undirected
Bassanio,Portia_mv,6,undirected
Bassanio,OldGobbo,1,undirected
Bassanio,Servant_mv,1,undirected
Bassanio,all_mv,1,undirected
Bassanio,Lorenzo,6,undirected
Bassanio,Salarino,1,undirected
Bassanio,Stephano,2,undirected
Bassanio,Leonardo,1,undirected
Bassanio,Bellario,1,undirected
Bassanio,Clerk_mv,1,undirected
Bassanio,Gratiano_mv,6,undirected
Bassanio,Hercules,1,undirected
Bassanio,Salanio,1,undirected
Bassanio,Shylock,4,undirected
Bassanio,Jessica,5,undirected
Nerissa,Salerio,3,undirected
Nerissa,PrinceMorocco,1,undirected
Nerissa,Tubal,2,undirected
Nerissa,Portia_mv,9,undirected
Nerissa,PrinceArragon,2,undirected
Nerissa,Servant_mv,2,undirected
Nerissa,all_mv,1,undirected
Nerissa,Salarino,1,undirected
Nerissa,Stephano,1,undirected
Nerissa,Salanio,1,undirected
Nerissa,Shylock,5,undirected
Portia_mv,Salerio,4,undirected
Portia_mv,PrinceMorocco,2,undirected
Portia_mv,Tubal,3,undirected
Portia_mv,PrinceArragon,4,undirected
Portia_mv,Servant_mv,3,undirected
Portia_mv,all_mv,1,undirected
Portia_mv,Salarino,2,undirected
Portia_mv,Stephano,1,undirected
Portia_mv,Salanio,2,undirected
Portia_mv,Shylock,8,undirected
Gratiano_mv,Launcelot,5,undirected
Gratiano_mv,Salerio,3,undirected
Gratiano_mv,Nerissa,3,undirected
Gratiano_mv,Portia_mv,4,undirected
Gratiano_mv,OldGobbo,1,undirected
Gratiano_mv,Servant_mv,1,undirected
Gratiano_mv,all_mv,1,undirected
Gratiano_mv,Lorenzo,7,undirected
Gratiano_mv,Salarino,3,undirected
Gratiano_mv,Stephano,1,undirected
Gratiano_mv,Leonardo,1,undirected
Gratiano_mv,Hercules,1,undirected
Gratiano_mv,Salanio,2,undirected
Gratiano_mv,Shylock,3,undirected
Gratiano_mv,Jessica,6,undirected
Salanio,Tubal,1,undirected
Salanio,Servant_mv,1,undirected
Salanio,Salarino,4,undirected
Salanio,Shylock,2,undirected
Antonio_mv,Launcelot,3,undirected
Antonio_mv,Salerio,1,undirected
Antonio_mv,PrinceMorocco,1,undirected
Antonio_mv,Duke,1,undirected
Antonio_mv,Bassanio,7,undirected
Antonio_mv,Tubal,1,undirected
Antonio_mv,Nerissa,4,undirected
Antonio_mv,Portia_mv,5,undirected
Antonio_mv,Balthasar_mv,1,undirected
Antonio_mv,Gaoler,1,undirected
Antonio_mv,Lorenzo,5,undirected
Antonio_mv,Salarino,3,undirected
Antonio_mv,Stephano,2,undirected
Antonio_mv,Bellario,1,undirected
Antonio_mv,Clerk_mv,1,undirected
Antonio_mv,Gratiano_mv,5,undirected
Antonio_mv,Salanio,1,undirected
Antonio_mv,Shylock,3,undirected
Antonio_mv,Jessica,4,undirected
PrinceArragon,Tubal,2,undirected
PrinceArragon,Servant_mv,2,undirected
PrinceArragon,Salarino,2,undirected
PrinceArragon,Salanio,2,undirected
PrinceArragon,Shylock,4,undirected
Bellario,Launcelot,1,undirected
Bellario,Salerio,1,undirected
Bellario,Duke,1,undirected
Bellario,Nerissa,2,undirected
Bellario,Portia_mv,3,undirected
Bellario,Lorenzo,2,undirected
Bellario,Clerk_mv,1,undirected
Bellario,Gratiano_mv,1,undirected
Bellario,Shylock,1,undirected
Bellario,Jessica,2,undirected
Balthasar_mv,Launcelot,1,undirected
Balthasar_mv,Salerio,1,undirected
Balthasar_mv,Duke,1,undirected
Balthasar_mv,Bassanio,1,undirected
Balthasar_mv,Nerissa,2,undirected
Balthasar_mv,Portia_mv,3,undirected
Balthasar_mv,Lorenzo,2,undirected
Balthasar_mv,Bellario,2,undirected
Balthasar_mv,Clerk_mv,1,undirected
Balthasar_mv,Gratiano_mv,1,undirected
Balthasar_mv,Shylock,1,undirected
Balthasar_mv,Jessica,2,undirected
Servant_mv,Tubal,1,undirected
Servant_mv,Shylock,3,undirected
Gaoler,Salarino,1,undirected
Gaoler,Shylock,1,undirected
Alcides,Salerio,2,undirected
Alcides,Bassanio,1,undirected
Alcides,Nerissa,1,undirected
Alcides,Portia_mv,1,undirected
Alcides,all_mv,1,undirected
Alcides,Lorenzo,2,undirected
Alcides,Gratiano_mv,1,undirected
Alcides,Hercules,1,undirected
Alcides,Shylock,1,undirected
Alcides,Jessica,2,undirected
Lorenzo,Salerio,5,undirected
Lorenzo,Nerissa,5,undirected
Lorenzo,Portia_mv,6,undirected
Lorenzo,all_mv,2,undirected
Lorenzo,Salarino,3,undirected
Lorenzo,Stephano,1,undirected
Lorenzo,Salanio,2,undirected
Lorenzo,Shylock,3,undirected
Leonardo,OldGobbo,1,undirected
Leonardo,Servant_mv,1,undirected
Leonardo,Shylock,1,undirected
Salarino,Tubal,1,undirected
Salarino,Servant_mv,1,undirected
Salarino,Shylock,3,undirected
Clerk_mv,Launcelot,1,undirected
Clerk_mv,Salerio,1,undirected
Clerk_mv,Duke,1,undirected
Clerk_mv,Nerissa,1,undirected
Clerk_mv,Portia_mv,2,undirected
Clerk_mv,Lorenzo,1,undirected
Clerk_mv,Gratiano_mv,1,undirected
Clerk_mv,Shylock,1,undirected
Clerk_mv,Jessica,1,undirected
Hercules,Salerio,2,undirected
Hercules,Nerissa,1,undirected
Hercules,Portia_mv,1,undirected
Hercules,all_mv,1,undirected
Hercules,Lorenzo,2,undirected
Hercules,Shylock,1,undirected
Hercules,Jessica,2,undirected
OldGobbo,Servant_mv,1,undirected
OldGobbo,Shylock,1,undirected
Shylock,Tubal,3,undirected
Shylock,all_mv,1,undirected
Jessica,Launcelot,6,undirected
Jessica,Salerio,5,undirected
Jessica,Nerissa,5,undirected
Jessica,Portia_mv,6,undirected
Jessica,all_mv,2,undirected
Jessica,Lorenzo,10,undirected
Jessica,Salarino,2,undirected
Jessica,Stephano,1,undirected
Jessica,Salanio,1,undirected
Jessica,Shylock,4,undirected
